codigo_municipio_ibge,municipio,idhm
1703305,BOM JESUS DO TOCANTINS,0.66
1703602,BRASILÂNDIA DO TOCANTINS,0.684
1703701,BREJINHO DE NAZARÉ,0.686
1703800,BURITI DO TOCANTINS,0.627
1703826,CACHOEIRINHA,0.627
1703842,CAMPOS LINDOS,0.544
1703867,CARIRI DO TOCANTINS,0.662
1703883,CARMOLÂNDIA,0.64
1703891,CARRASCO BONITO,0.594
1703909,CASEARA,0.658
1704105,CENTENÁRIO,0.569
1704600,CHAPADA DE AREIA,0.619
1705102,CHAPADA DA NATIVIDADE,0.62
1705508,COLINAS DO TOCANTINS,0.701
1705557,COMBINADO,0.697
1705607,CONCEIÇÃO DO TOCANTINS,0.592
1706001,COUTO MAGALHÃES,0.605
1706100,CRISTALÂNDIA,0.673
1706258,CRIXÁS DO TOCANTINS,0.644
1706506,DARCINÓPOLIS,0.581
1707009,DIANÓPOLIS,0.701
1707108,DIVINÓPOLIS DO TOCANTINS,0.683
1707207,DOIS IRMÃOS DO TOCANTINS,0.583
1707306,DUERÉ,0.679
1707405,ESPERANTINA,0.57
1707553,FÁTIMA,0.697
1707652,FIGUEIRÓPOLIS,0.689
1707702,FILADÉLFIA,0.621
1708205,FORMOSO DO ARAGUAIA,0.67
1708254,FORTALEZA DO TABOCÃO,0.659
1708304,GOIANORTE,0.621
1709005,GOIATINS,0.576
1709302,GUARAÍ,0.741
1709500,GURUPI,0.759
1709807,IPUEIRAS,0.62
1710508,ITACAJÁ,0.612
1710706,ITAGUATINS,0.616
1710904,ITAPIRATINS,0.601
1711100,ITAPORÃ DO TOCANTINS,0.65
1711506,JAÚ DO TOCANTINS,0.662
1711803,JUARINA,0.584
1711902,LAGOA DA CONFUSÃO,0.627
1711951,LAGOA DO TOCANTINS,0.579
1712009,LAJEADO,0.675
1712157,LAVANDEIRA,0.66
1712405,LIZARDA,0.57
1712454,LUZINÓPOLIS,0.639
1712504,MARIANÓPOLIS DO TOCANTINS,0.631
1712702,MATEIROS,0.607
1712801,MAURILÂNDIA DO TOCANTINS,0.58
1713205,MIRACEMA DO TOCANTINS,0.684
1713304,MIRANORTE,0.662
1713601,MONTE DO CARMO,0.622
1713700,MONTE SANTO DO TOCANTINS,0.62
1713809,PALMEIRAS DO TOCANTINS,0.628
1713957,MURICILÂNDIA,0.596
1714203,NATIVIDADE,0.673
1714302,NAZARÉ,0.643
1714880,NOVA OLINDA,0.631
1715002,NOVA ROSALÂNDIA,0.661
1715101,NOVO ACORDO,0.639
1715150,NOVO ALEGRE,0.699
1715259,NOVO JARDIM,0.596
1715507,OLIVEIRA DE FÁTIMA,0.675
1715705,PALMEIRANTE,0.571
1715754,PALMEIRÓPOLIS,0.673
1716109,PARAÍSO DO TOCANTINS,0.764
1716208,PARANÃ,0.595
1716307,PAU D'ARCO,0.661
1716505,PEDRO AFONSO,0.732
1716604,PEIXE,0.674
1716653,PEQUIZEIRO,0.627
1716703,COLMÉIA,0.671
1717008,PINDORAMA DO TOCANTINS,0.605
1717206,PIRAQUÊ,0.621
1717503,PIUM,0.65
1717800,PONTE ALTA DO BOM JESUS,0.603
1717909,PONTE ALTA DO TOCANTINS,0.624
1718006,PORTO ALEGRE DO TOCANTINS,0.645
1718204,PORTO NACIONAL,0.74
1718303,PRAIA NORTE,0.583
1718402,PRESIDENTE KENNEDY,0.669
1718451,PUGMIL,0.669
1718501,RECURSOLÂNDIA,0.5
1718550,RIACHINHO,0.572
1718659,RIO DA CONCEIÇÃO,0.608
1718709,RIO DOS BOIS,0.616
1718758,RIO SONO,0.6
1718808,SAMPAIO,0.606
1718840,SANDOLÂNDIA,0.659
1718865,SANTA FÉ DO ARAGUAIA,0.616
1718881,SANTA MARIA DO TOCANTINS,0.634
1718899,SANTA RITA DO TOCANTINS,0.651
1718907,SANTA ROSA DO TOCANTINS,0.595
1719004,SANTA TEREZA DO TOCANTINS,0.662
1720002,SANTA TEREZINHA DO TOCANTINS,0.637
1720101,SÃO BENTO DO TOCANTINS,0.605
1720150,SÃO FÉLIX DO TOCANTINS,0.574
1720200,SÃO MIGUEL DO TOCANTINS,0.623
1720259,SÃO SALVADOR DO TOCANTINS,0.605
1720309,SÃO SEBASTIÃO DO TOCANTINS,0.573
